subject,label,comment,type,homepage,country
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor3/Vendor3,"opined rebinding musingly","ghats sargassos doctors bowshots ensnarling retro stateswoman contiguously rifeness laughed pennants realizations shakeup vulgarities cochairing residence bridges bratty nictitating gladioli corporately studies correctest lawmaking localized cypres luffs impinger verticals sectarians praiseworthily systematizes okapi pugged elongations skidoo perpetuates labels spatted arsons nonconsumption imperilled rationalization appeased canter vibrators nonbending pokies",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor,http://www.vendor3.com/,http://downlode.org/rdf/iso-3166/countries#CN
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor8/Vendor8,"finis monadism inscribes","repaying bawlers leadoff insidiously instrumented weepers barless stevedored gaining widdies unspecific disparities bolos biteable exploits scleroses fancifully caparisons modernized records southwardly unknowable calibrates earmarking teary mirthfully irresponsibleness nubbins phew blacktop played anchorites gneisses relique powerboats avoidant delegacy toros unadjustable limper appertained metaphorical cassino redrafting",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor,http://www.vendor8.com/,http://downlode.org/rdf/iso-3166/countries#JP
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor10/Vendor10,"plopping medusoid doctrinally","handcuffed propitiously predesignates frivolities legislatrixes fractionalized anemic oscilloscopic conferrer antibacterial poler recruiting connections fledges padded hairier ovation dioptre eurythmy sendable alumines petunias sizier seeks prounion corrida milkers unsnarl caresses demodulates ambergrease bassists grippiest skimping showmanship gaminess lovelies nascency bravuras porter",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor,http://www.vendor10.com/,http://downlode.org/rdf/iso-3166/countries#RU
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor5/Vendor5,"supremacist","regulative waspily impassively ionized cambia jogger mechanotherapies pasturage hacksaws fishlines centralizers peons misapprehended parenting malignities befuddlement umlauts shootings notoriously boosters decompensates shifter expurgators unhinges prepuces lowboys northings querulously tinkles hygroscope hists pierrot romanticized panegyrized reinstructs crapper categorized freely concretions posses",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor,http://www.vendor5.com/,http://downlode.org/rdf/iso-3166/countries#KR
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor12/Vendor12,"boppers indicts","trochaic convexo conspirer resale collocates scuta snowdrops phaseouts jeez inharmonic translations boskiest ovality evasiveness growler asterisms tattered karts wizards pullout plummeting beldam hungarians fraternizer amice temporally incisor chicks capricorns",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor,http://www.vendor12.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor7/Vendor7,"mixer","cryptically beautifies casehardens revising ceria credibilities platelets hoarsens naivetes digits soundtracks thickets gemsbok unimpressible cosmopolitanism corsairs curtailing rabidly appomattox hooey equations coincidentally impertinencies floppers chamoising tabors reheated obliquely detentes crapes reheeling chancels ascot",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor,http://www.vendor7.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor2/Vendor2,"commissariats","nonpareil etherification reelected toga detectors gramarye formalism nicknamed turndown tendentiousness mainlined alternative hecticly illusions preaxially reinjuring anagrams simpleness sections endleaves russians lunatics",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor,http://www.vendor2.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor9/Vendor9,"casements clonked knighthood","listening axemen southed noncommercially stintingly assigner fetors israelis exchanging relocation lutes cenotaphic timeserving renewals supremer deadlier rampaged functionalistic winterization haled peevish overplayed edgings imagined tambourines usuries naturalistic scrimped albinoism bucking lithologic microscope nonparallel argled clinchers miniaturization foehns pericynthion reintegrating cosmogonists triolet physiotherapies balkans",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor,http://www.vendor9.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor4/Vendor4,"quintuplet","synchronizes drachmae strayers chaffinches placentography deformed trained quitter netlike dispraise commercing spathic bedspreads barely anticoagulant esperanto somnambulating iconoclasts lampooned sequentially unmooring polysyllable jamb paginated resolutely blouson misjudged jaws dietetics",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor,http://www.vendor4.com/,http://downlode.org/rdf/iso-3166/countries#US
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromVendor11/Vendor11,"tells pasties shapers","millrun humidities fruited sylphy overturing cabalists dactyls reanimations hatemongering skulls incomes recordist roughhewn freezing completed adumbrate fuelled turgescence evolutes catalog",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Vendor,http://www.vendor11.com/,http://downlode.org/rdf/iso-3166/countries#GB
