subject,label,comment,type,subClassOf
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType10,"sheeny","pastured priors ballades tormented towpaths transfused yahweh admonishments insertions afterwards nontemporally scrawlier luxes aphorise tediousness biogeochemistry plutocratic conjurer transnational achoo rehandling bended befogged obstreperously exhaled musks",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType11,"playacted","squeegeed disappointed gabbled misunderstand deriving obituaries eulogist saboteur sward maintops preterit auricled reddened befuddles sidelights reexchanged soothingly conscripts tigrish broguery distributing unconventionalized kvetches fomentation habituation elmy obeisances birdied pseudonymous cabby copulae easels checker exchequers remodifies spatulate upload ceramist kakis infuriation upholsterer plumberies incipiencies",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType12,"linguini repossession energize","superintendence egger sandworms dicotyledonous soliloquizing notcher teraphim meanders marines incandescence contortion pillaring cabmen scholium ensnarer tokyoites chichi conches disheartens tailcoats antecedently whitecomb forewing",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType13,"chaplets unharmful frizettes","wiseliest disunites storables helices eves aims drawler patchiest remigrated indicatives parleys wracking pignorated baboons bassist caramelize definer workup antinucleons chuckfull doozies seismographers stomaching relished wariest botulisms heartsick resided laminates uncouthness ballpoint tabour lipids unsolved chaffier radixes opportunism groins hearthstone gypsied monomials petrographers tints oyes veraciously unshapely",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType14,"dyspeptics indubitably","congruous values tampers pudgier hypothermic tinkered slouches hamstring clef raper deserves tidbits vinculum shopkeeper impresses cannonry discourses outgrowing rebutters haymaker allegorists inkles restorativeness unexcelled quintan vivification ensorceled preclusively respondencies imaginable nabob seductresses chaunters perlites spinally masterpieces credibleness biogeography kisses pepperer gruesomeness intercourse teleport charmed parsers flimsily",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType15,"redrafted tarting","kyat angler sabotages placarded saliently meandered effulgences terminators gendarmerie iguana titteringly laking copepods reactivate hazarded liveliness viscoid incarcerator distress declinable bacchants nontechnical remortgaged prettification bloater criticized teenybopper unhorses viniest swizzler annotatively babu gausses nonaddicting rued immovably mesomorphic",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType2
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType16,"engulfing","underfeed wrynecks inconsistency persuadably incinerator etiolated remend transportal millrun solarizes tarp prinks propitiates vegetarianism gars sanctifies toppled polkas nooning servicers whirred clingier outpoured echidnas desolates seismometer",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType17,"daftly volute outvoted","desperadoes easiest peery jughead lepton gamins rebated enthusing bullocks beheading extinguishes mudslinging surefire glands disinter savouriest stakeout desegregation pruners ocurred condones annoying retractors wharfed helipads saucers cassaba burundians quitclaiming conns rotting transpolar silkier romanticization misreporting reproof excoriates medics",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType18,"reglued renovators","reindexed wannest moonlights rattler maracas imposed coronach frizzling dunghill falteringly indigently canes confuters nervily boycotts sheepman supporting soundtrack crudities fumes barred antlers secretor pragmatical igniting cavitation preparer maturating inebriates diluvial",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType19,"onefold outproduces decalcomania","mouldiest sulfurized accommodator shrewdly rugging grumbled celebrators thereout paraphrases interjectional preshaped rationalizes lagoons fossate pinworms egomaniac throating toothaches scrubs tentatively toweling inputted chickpeas unlivable noncomplying knucks aerobes warpers location emulating hangings enfolder seascapes armourer expunging compressors",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType20,"umbellate","insurrectional bucking accommodations floors degaussing sisterhoods primogeniture stover contumelies fifteens atrociously flagellated microradiographically copes plexiglass fowled disincorporated braises mildly incompetencies virucide overembellishes perfectos dignities perdurability pryers overplaying monistic contraindicated trovers impulsed nulled stumper mackerels plentifully bullfight simpers toasting distributors",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType21,"mannas","frustration tubbiness wordstar consults reoccurrences commensurations grinning oles idealities harborers overdiversifying virginally schussed assessors superintendents mowing chapmen cains unmuzzle surtaxed brio managemental thermograph robustly subcommissions quando rani intermix astringents hognoses jailors braver",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType22,"melanized pants soilages","saliently uninvited flinging vigilance vulnerability reneger hatters decrial domestically torc billeters mesalliances disturbances fabricators groschen aerometer guiltless threatens ivies alumin advertently magicking undiscriminating dilapidator milfoils",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType23,"feeblemindedness arrhythmical rectangles","fido dancer moderates orogenic storerooms pithed condenser flammably backsaw goggles idolatries anacondas hounds mothering ensky rapider toroids quadriplegia likers mullioning sheaves grimmer redistills loaning kaliphs hawker",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType3
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType24,"valorizes stammels reinduce","progressional journalism backspaced crevasse disfunction deepening gestalts hammerlock tazzas ofttimes overestimated profounds prefabbed gypsied cerebric laserjet broncs foretokens smoker reerects anticipated somewhen feathering gargoyles excellency dehumanize misarranges justifier ponchos percolators moaning annexion",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType25,"balancing antiradicals","pokeys resorts comping christianize gears ranges cobs roscoes derogatoriness arguer polyandries susurrations sputterer arrestment meninges arming nabobisms conventicle hybridizer coffered caracol handpicking flatter uncurling climatically remora scuppering marketings carotin palatably zeroing smells smeariest capful",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType26,"heroics biracialism","microvolt subtopic factiously propmistress triangulated everted pistolling canzona disapprovals linnet cribbages gravies rubbernecked bleachers buffeted vasodilation hussy vacillated determinedly italicize alacrities abscise tamperer mamboing disemboweling protectionist hacked hyperbolically droppings irritancies graceless kabob oblongly curares tinsmiths kingliness splosh",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType27,"courtrooms skyjacked daphnias","backslider apprenticing baa slumbered tinhorn grubworms purchasers statisticians improvidently albanians manginess entomb elopements adviser gundog lambaste ultrasonics livings copped undraping cavorter freeloader beetroots antiheroes",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType28,"dichotomously","quietude sheathers huaraches beholden coagulator prosthetics ecclesiastically obsessed vitalities batwomen resorted donation puritans slummy oversells untractable oinking pussyfooted insensitivity egomanias megalithic hiccups reinducted greeting largely fender rubbles unquote unalarming anthropologies",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType29,"abhorrences","strobilization accommodation terrestrially mollycoddling dehumanizing steppingstone orchestrally tenuousness yardsticks unneedful calamaries supplants endlessly impregnated heroize navvies studbook analogousness barometric coheirs elongations walking nonelectrically sirrees churchy petroleous coverlets unfamiliarly desensitizes useless autostradas infinitesimally gluttonies conjoins scabbily capitalizer collapses",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType30,"overambitiously asphyxiates","netter backs reboils ablated whorls calumniations layering blurters dismortgaging commands expropriations vignetting trimly replicates autocracies synovial bullocks typifiers reinfect playwears auriform paupers mannered masers smoothly computer radioman",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType31,"bounds kirigami dogsbodies","hailed carefully civilization arrived fixative agedly glottologies pushily dognaps piscine alights sudsed deviated entryways periodontics olios civics intergalactic abrogations interviewees aimlessness ambivalently synovias sakis staffed pufferies outfielder punner huller idler yokelish semicircle despatch",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType4
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType32,"pouffs sadisms obduction","females rubbings obtainers roofings thoughtfully punier handsbreadth adamantine glamorously medals overstretches malthus miscarriage ladened spermatozoa seasonally evanishes satisfactoriness prompted rescued",http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductType,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductType5
